domain_1,domain_2,year,cosine_similarity
astro-ph,cond-mat,2019,0.316358
astro-ph,cond-mat,2020,0.332041
astro-ph,cond-mat,2021,0.333944
astro-ph,cond-mat,2022,0.339138
astro-ph,cond-mat,2023,0.34002
astro-ph,cond-mat,2024,0.346694
astro-ph,cond-mat,2025,0.353271
astro-ph,cond-mat,2026,0.370962
astro-ph,cs,2019,0.171281
astro-ph,cs,2020,0.175997
astro-ph,cs,2021,0.192211
astro-ph,cs,2022,0.201114
astro-ph,cs,2023,0.209443
astro-ph,cs,2024,0.217689
astro-ph,cs,2025,0.245874
astro-ph,cs,2026,0.257993
astro-ph,econ,2019,0.094519
astro-ph,econ,2020,0.107388
astro-ph,econ,2021,0.101042
astro-ph,econ,2022,0.115424
astro-ph,econ,2023,0.107726
astro-ph,econ,2024,0.120875
astro-ph,econ,2025,0.141148
astro-ph,econ,2026,0.155501
astro-ph,eess,2019,0.186085
astro-ph,eess,2020,0.177931
astro-ph,eess,2021,0.190556
astro-ph,eess,2022,0.198064
astro-ph,eess,2023,0.206251
astro-ph,eess,2024,0.216723
astro-ph,eess,2025,0.239733
astro-ph,eess,2026,0.258773
astro-ph,gr-qc,2019,0.607158
astro-ph,gr-qc,2020,0.614227
astro-ph,gr-qc,2021,0.634448
astro-ph,gr-qc,2022,0.638753
astro-ph,gr-qc,2023,0.644073
astro-ph,gr-qc,2024,0.656587
astro-ph,gr-qc,2025,0.680858
astro-ph,gr-qc,2026,0.687169
astro-ph,hep-ex,2019,0.600818
astro-ph,hep-ex,2020,0.593063
astro-ph,hep-ex,2021,0.615486
astro-ph,hep-ex,2022,0.62012
astro-ph,hep-ex,2023,0.621677
astro-ph,hep-ex,2024,0.621301
astro-ph,hep-ex,2025,0.640577
astro-ph,hep-ex,2026,0.625867
astro-ph,hep-lat,2019,0.417051
astro-ph,hep-lat,2020,0.411479
astro-ph,hep-lat,2021,0.417771
astro-ph,hep-lat,2022,0.412067
astro-ph,hep-lat,2023,0.422562
astro-ph,hep-lat,2024,0.422026
astro-ph,hep-lat,2025,0.437388
astro-ph,hep-lat,2026,0.425147
astro-ph,hep-ph,2019,0.60881
astro-ph,hep-ph,2020,0.606124
astro-ph,hep-ph,2021,0.622379
astro-ph,hep-ph,2022,0.61861
astro-ph,hep-ph,2023,0.629288
astro-ph,hep-ph,2024,0.634747
astro-ph,hep-ph,2025,0.662205
astro-ph,hep-ph,2026,0.658409
astro-ph,hep-th,2019,0.419658
astro-ph,hep-th,2020,0.428388
astro-ph,hep-th,2021,0.441776
astro-ph,hep-th,2022,0.437231
astro-ph,hep-th,2023,0.437135
astro-ph,hep-th,2024,0.447461
astro-ph,hep-th,2025,0.458854
astro-ph,hep-th,2026,0.456192
astro-ph,math,2019,0.169681
astro-ph,math,2020,0.188174
astro-ph,math,2021,0.193341
astro-ph,math,2022,0.195082
astro-ph,math,2023,0.198336
astro-ph,math,2024,0.199556
astro-ph,math,2025,0.21436
astro-ph,math,2026,0.225861
astro-ph,math-ph,2019,0.209134
astro-ph,math-ph,2020,0.225734
astro-ph,math-ph,2021,0.2417
astro-ph,math-ph,2022,0.240187
astro-ph,math-ph,2023,0.241933
astro-ph,math-ph,2024,0.245396
astro-ph,math-ph,2025,0.266615
astro-ph,math-ph,2026,0.27965
astro-ph,nlin,2019,0.217496
astro-ph,nlin,2020,0.247574
astro-ph,nlin,2021,0.239381
astro-ph,nlin,2022,0.233128
astro-ph,nlin,2023,0.22788
astro-ph,nlin,2024,0.222567
astro-ph,nlin,2025,0.270435
astro-ph,nlin,2026,0.277624
astro-ph,nucl-ex,2019,0.621035
astro-ph,nucl-ex,2020,0.623612
astro-ph,nucl-ex,2021,0.627894
astro-ph,nucl-ex,2022,0.625312
astro-ph,nucl-ex,2023,0.632165
astro-ph,nucl-ex,2024,0.627571
astro-ph,nucl-ex,2025,0.6392
astro-ph,nucl-ex,2026,0.623914
astro-ph,nucl-th,2019,0.585401
astro-ph,nucl-th,2020,0.588805
astro-ph,nucl-th,2021,0.607478
astro-ph,nucl-th,2022,0.605461
astro-ph,nucl-th,2023,0.610122
astro-ph,nucl-th,2024,0.608113
astro-ph,nucl-th,2025,0.621842
astro-ph,nucl-th,2026,0.61771
astro-ph,physics,2019,0.586611
astro-ph,physics,2020,0.581827
astro-ph,physics,2021,0.578568
astro-ph,physics,2022,0.594925
astro-ph,physics,2023,0.57875
astro-ph,physics,2024,0.574966
astro-ph,physics,2025,0.585137
astro-ph,physics,2026,0.591533
astro-ph,q-bio,2019,0.189461
astro-ph,q-bio,2020,0.220122
astro-ph,q-bio,2021,0.229537
astro-ph,q-bio,2022,0.22973
astro-ph,q-bio,2023,0.243684
astro-ph,q-bio,2024,0.243235
astro-ph,q-bio,2025,0.274911
astro-ph,q-bio,2026,0.286103
astro-ph,q-fin,2019,0.10643
astro-ph,q-fin,2020,0.123837
astro-ph,q-fin,2021,0.134299
astro-ph,q-fin,2022,0.144024
astro-ph,q-fin,2023,0.143061
astro-ph,q-fin,2024,0.149309
astro-ph,q-fin,2025,0.18579
astro-ph,q-fin,2026,0.202951
astro-ph,quant-ph,2019,0.244255
astro-ph,quant-ph,2020,0.237772
astro-ph,quant-ph,2021,0.248562
astro-ph,quant-ph,2022,0.247034
astro-ph,quant-ph,2023,0.246284
astro-ph,quant-ph,2024,0.24838
astro-ph,quant-ph,2025,0.26672
astro-ph,quant-ph,2026,0.286921
astro-ph,stat,2019,0.21769
astro-ph,stat,2020,0.227869
astro-ph,stat,2021,0.239887
astro-ph,stat,2022,0.241547
astro-ph,stat,2023,0.244434
astro-ph,stat,2024,0.246401
astro-ph,stat,2025,0.278099
astro-ph,stat,2026,0.292511
cond-mat,cs,2019,0.068874
cond-mat,cs,2020,0.078652
cond-mat,cs,2021,0.091063
cond-mat,cs,2022,0.108189
cond-mat,cs,2023,0.117933
cond-mat,cs,2024,0.131438
cond-mat,cs,2025,0.172469
cond-mat,cs,2026,0.212811
cond-mat,econ,2019,0.002903
cond-mat,econ,2020,0.007596
cond-mat,econ,2021,0.005452
cond-mat,econ,2022,0.032096
cond-mat,econ,2023,0.022403
cond-mat,econ,2024,0.027725
cond-mat,econ,2025,0.059903
cond-mat,econ,2026,0.086634
cond-mat,eess,2019,0.008136
cond-mat,eess,2020,0.015232
cond-mat,eess,2021,0.029686
cond-mat,eess,2022,0.04818
cond-mat,eess,2023,0.062587
cond-mat,eess,2024,0.082971
cond-mat,eess,2025,0.121228
cond-mat,eess,2026,0.153428
cond-mat,gr-qc,2019,0.306994
cond-mat,gr-qc,2020,0.309845
cond-mat,gr-qc,2021,0.306159
cond-mat,gr-qc,2022,0.315469
cond-mat,gr-qc,2023,0.306977
cond-mat,gr-qc,2024,0.30862
cond-mat,gr-qc,2025,0.329547
cond-mat,gr-qc,2026,0.352127
cond-mat,hep-ex,2019,0.355098
cond-mat,hep-ex,2020,0.339617
cond-mat,hep-ex,2021,0.339328
cond-mat,hep-ex,2022,0.359615
cond-mat,hep-ex,2023,0.342562
cond-mat,hep-ex,2024,0.345521
cond-mat,hep-ex,2025,0.349062
cond-mat,hep-ex,2026,0.373231
cond-mat,hep-lat,2019,0.590278
cond-mat,hep-lat,2020,0.614742
cond-mat,hep-lat,2021,0.61828
cond-mat,hep-lat,2022,0.627549
cond-mat,hep-lat,2023,0.611863
cond-mat,hep-lat,2024,0.631997
cond-mat,hep-lat,2025,0.63978
cond-mat,hep-lat,2026,0.659913
cond-mat,hep-ph,2019,0.469258
cond-mat,hep-ph,2020,0.475455
cond-mat,hep-ph,2021,0.48085
cond-mat,hep-ph,2022,0.484352
cond-mat,hep-ph,2023,0.488147
cond-mat,hep-ph,2024,0.498115
cond-mat,hep-ph,2025,0.512364
cond-mat,hep-ph,2026,0.523878
cond-mat,hep-th,2019,0.491063
cond-mat,hep-th,2020,0.492986
cond-mat,hep-th,2021,0.485434
cond-mat,hep-th,2022,0.493238
cond-mat,hep-th,2023,0.483208
cond-mat,hep-th,2024,0.488486
cond-mat,hep-th,2025,0.495843
cond-mat,hep-th,2026,0.517582
cond-mat,math,2019,0.226577
cond-mat,math,2020,0.241468
cond-mat,math,2021,0.237107
cond-mat,math,2022,0.250493
cond-mat,math,2023,0.240264
cond-mat,math,2024,0.243763
cond-mat,math,2025,0.246556
cond-mat,math,2026,0.268942
cond-mat,math-ph,2019,0.493925
cond-mat,math-ph,2020,0.508067
cond-mat,math-ph,2021,0.518063
cond-mat,math-ph,2022,0.545673
cond-mat,math-ph,2023,0.512102
cond-mat,math-ph,2024,0.513697
cond-mat,math-ph,2025,0.532944
cond-mat,math-ph,2026,0.553244
cond-mat,nlin,2019,0.498323
cond-mat,nlin,2020,0.5095
cond-mat,nlin,2021,0.505499
cond-mat,nlin,2022,0.508228
cond-mat,nlin,2023,0.477246
cond-mat,nlin,2024,0.469594
cond-mat,nlin,2025,0.49899
cond-mat,nlin,2026,0.534981
cond-mat,nucl-ex,2019,0.414279
cond-mat,nucl-ex,2020,0.467849
cond-mat,nucl-ex,2021,0.448661
cond-mat,nucl-ex,2022,0.445416
cond-mat,nucl-ex,2023,0.436279
cond-mat,nucl-ex,2024,0.439065
cond-mat,nucl-ex,2025,0.445607
cond-mat,nucl-ex,2026,0.436332
cond-mat,nucl-th,2019,0.597996
cond-mat,nucl-th,2020,0.608984
cond-mat,nucl-th,2021,0.600997
cond-mat,nucl-th,2022,0.605014
cond-mat,nucl-th,2023,0.593092
cond-mat,nucl-th,2024,0.597586
cond-mat,nucl-th,2025,0.602408
cond-mat,nucl-th,2026,0.622833
cond-mat,physics,2019,0.733159
cond-mat,physics,2020,0.735869
cond-mat,physics,2021,0.726217
cond-mat,physics,2022,0.718836
cond-mat,physics,2023,0.725644
cond-mat,physics,2024,0.735358
cond-mat,physics,2025,0.723033
cond-mat,physics,2026,0.73736
cond-mat,q-bio,2019,0.254392
cond-mat,q-bio,2020,0.185568
cond-mat,q-bio,2021,0.239885
cond-mat,q-bio,2022,0.272183
cond-mat,q-bio,2023,0.277895
cond-mat,q-bio,2024,0.290349
cond-mat,q-bio,2025,0.317618
cond-mat,q-bio,2026,0.354311
cond-mat,q-fin,2019,0.123805
cond-mat,q-fin,2020,0.12159
cond-mat,q-fin,2021,0.124805
cond-mat,q-fin,2022,0.135115
cond-mat,q-fin,2023,0.137369
cond-mat,q-fin,2024,0.141509
cond-mat,q-fin,2025,0.172164
cond-mat,q-fin,2026,0.19835
cond-mat,quant-ph,2019,0.604641
cond-mat,quant-ph,2020,0.600926
cond-mat,quant-ph,2021,0.597336
cond-mat,quant-ph,2022,0.596884
cond-mat,quant-ph,2023,0.586184
cond-mat,quant-ph,2024,0.59292
cond-mat,quant-ph,2025,0.610413
cond-mat,quant-ph,2026,0.638013
cond-mat,stat,2019,0.060739
cond-mat,stat,2020,0.05899
cond-mat,stat,2021,0.073606
cond-mat,stat,2022,0.084295
cond-mat,stat,2023,0.090642
cond-mat,stat,2024,0.107127
cond-mat,stat,2025,0.137505
cond-mat,stat,2026,0.183294
cs,econ,2019,0.351536
cs,econ,2020,0.348639
cs,econ,2021,0.338788
cs,econ,2022,0.354509
cs,econ,2023,0.352337
cs,econ,2024,0.374795
cs,econ,2025,0.40025
cs,econ,2026,0.463526
cs,eess,2019,0.740935
